IDW IDB ODW ODB number_of_trials correlation_count correlation is_significant
0 0 3 23 67108864 33523776 -0.000913619995117 1
0 0 3 24 67108864 33559669 0.000156074762344 0
0 0 3 25 67108864 33556093 0.000049501657486 0
0 0 3 26 67108864 33556492 0.000061392784119 0
0 0 3 27 67108864 33552136 -0.000068426132202 0
0 0 3 28 67108864 33574152 0.000587701797485 1
0 0 3 29 67108864 33554039 -0.000011712312698 0
0 0 3 30 67108864 33548187 -0.000186115503311 0
0 0 3 31 67108864 33553979 -0.000013500452042 0
0 1 0 0 67108864 33553701 -0.000021785497665 0
0 1 0 1 67108864 33561100 0.000198721885681 0
0 1 0 2 67108864 33560306 0.000175058841705 0
0 1 0 3 67108864 33548423 -0.000179082155228 0
0 1 0 4 67108864 33552615 -0.000054150819778 0
0 1 0 5 67108864 33561008 0.000195980072021 0
0 1 0 6 67108864 33848423 0.008761614561081 1
0 1 0 7 67108864 33558091 0.000109046697617 0
0 1 0 8 67108864 33556404 0.000058770179749 0
0 1 0 9 67108864 33551676 -0.000082135200500 0
0 1 0 10 67108864 33551119 -0.000098735094070 0
0 1 0 11 67108864 33514551 -0.001188546419144 1
0 1 0 12 67108864 33553404 -0.000030636787415 0
0 1 0 13 67108864 33818634 0.007873833179474 1
0 1 0 14 67108864 35275413 0.051289230585098 1
0 1 0 15 67108864 33546570 -0.000234305858612 0
0 1 0 16 67108864 33600532 0.001373887062073 1
0 1 0 17 67108864 32744386 -0.024141252040863 1
0 1 0 18 67108864 33551638 -0.000083267688751 0
0 1 0 19 67108864 33549391 -0.000150233507156 0
0 1 0 20 67108864 33553400 -0.000030755996704 0
0 1 0 21 67108864 33815935 0.007793396711349 1
0 1 0 22 67108864 34691293 0.033881098031998 1
0 1 0 23 67108864 33550903 -0.000105172395706 0
0 1 0 24 67108864 33573184 0.000558853149414 1
0 1 0 25 67108864 33561351 0.000206202268600 0
0 1 0 26 67108864 33550158 -0.000127375125885 0
0 1 0 27 67108864 33554742 0.000009238719940 0
0 1 0 28 67108864 33556961 0.000075370073318 0
0 1 0 29 67108864 33657034 0.003057777881622 1
0 1 0 30 67108864 33570010 0.000464260578156 0
0 1 0 31 67108864 33552909 -0.000045388936996 0
0 1 1 0 67108864 33555132 0.000020861625671 0
0 1 1 1 67108864 33556707 0.000067800283432 0
0 1 1 2 67108864 33552666 -0.000052630901337 0
0 1 1 3 67108864 33550842 -0.000106990337372 0
0 1 1 4 67108864 33560918 0.000193297863007 0
0 1 1 5 67108864 33510600 -0.001306295394897 1
0 1 1 6 67108864 33556577 0.000063925981522 0
0 1 1 7 67108864 33558934 0.000134170055389 0
0 1 1 8 67108864 33669037 0.003415495157242 1
0 1 1 9 67108864 33557589 0.000094085931778 0
0 1 1 10 67108864 33553304 -0.000033617019653 0
0 1 1 11 67108864 33517031 -0.001114636659622 1
0 1 1 12 67108864 33550952 -0.000103712081909 0
0 1 1 13 67108864 33351641 -0.006043642759323 1
0 1 1 14 67108864 33557324 0.000086188316345 0
0 1 1 15 67108864 33554674 0.000007212162018 0
0 1 1 16 67108864 33558261 0.000114113092422 0
0 1 1 17 67108864 33554992 0.000016689300537 0
0 1 1 18 67108864 33557292 0.000085234642029 0
0 1 1 19 67108864 33556232 0.000053644180298 0
0 1 1 20 67108864 33547263 -0.000213652849197 0
0 1 1 21 67108864 33554772 0.000010132789612 0
0 1 1 22 67108864 33548866 -0.000165879726410 0
0 1 1 23 67108864 33559856 0.000161647796631 0
0 1 1 24 67108864 33556846 0.000071942806244 0
0 1 1 25 67108864 33553071 -0.000040560960770 0
0 1 1 26 67108864 33559488 0.000150680541992 0
0 1 1 27 67108864 33552283 -0.000064045190811 0
0 1 1 28 67108864 33551002 -0.000102221965790 0
0 1 1 29 67108864 33537433 -0.000506609678268 1
0 1 1 30 67108864 33549062 -0.000160038471222 0
0 1 1 31 67108864 33561568 0.000212669372559 0
0 1 2 0 67108864 33558440 0.000119447708130 0
