IDW IDB ODW ODB number_of_trials correlation_count correlation is_significant
0 0 0 0 268435456 134210725 -0.000052176415920 0
0 0 0 1 268435456 134198505 -0.000143222510815 0
0 0 0 2 268435456 134209987 -0.000057674944401 0
0 0 0 3 268435456 134225427 0.000057362020016 0
0 0 0 4 268435456 134225653 0.000059045851231 0
0 0 0 5 268435456 134231540 0.000102907419205 0
0 0 0 6 268435456 134215217 -0.000018708407879 0
0 0 0 7 268435456 134214513 -0.000023953616619 0
0 0 0 8 268435456 134212342 -0.000040128827095 0
0 0 0 9 268435456 134205845 -0.000088535249233 0
0 0 0 10 268435456 134214925 -0.000020883977413 0
0 0 0 11 268435456 134200455 -0.000128693878651 0
0 0 0 12 268435456 134209500 -0.000061303377151 0
0 0 0 13 268435456 134222472 0.000035345554352 0
0 0 0 14 268435456 134226178 0.000062957406044 0
0 0 0 15 268435456 134236088 0.000136792659760 0
0 0 0 16 268435456 134211372 -0.000047355890274 0
0 0 0 17 268435456 134207497 -0.000076226890087 0
0 0 0 18 268435456 134224638 0.000051483511925 0
0 0 0 19 268435456 134212789 -0.000036798417568 0
0 0 0 20 268435456 134216421 -0.000009737908840 0
0 0 0 21 268435456 134205479 -0.000091262161732 0
0 0 0 22 268435456 134231047 0.000099234282970 0
0 0 0 23 268435456 134226780 0.000067442655563 0
0 0 0 24 268435456 134217903 0.000001303851604 0
0 0 0 25 268435456 134219695 0.000014655292034 0
0 0 0 26 268435456 134220761 0.000022597610950 0
0 0 0 27 268435456 134210658 -0.000052675604820 0
0 0 0 28 268435456 134165027 -0.000392653048038 1
0 0 0 29 268435456 134226498 0.000065341591835 0
0 0 0 30 268435456 134215710 -0.000015035271645 0
0 0 0 31 268435456 134219379 0.000012300908566 0
0 0 1 0 268435456 134219493 0.000013150274754 0
0 0 1 1 268435456 134231406 0.000101909041405 0
0 0 1 2 268435456 134221602 0.000028863549232 0
0 0 1 3 268435456 134215350 -0.000017717480659 0
0 0 1 4 268435456 134229880 0.000090539455414 0
0 0 1 5 268435456 134231292 0.000101059675217 0
0 0 1 6 268435456 134208928 -0.000065565109253 0
0 0 1 7 268435456 134230986 0.000098779797554 0
0 0 1 8 268435456 134218062 0.000002488493919 0
0 0 1 9 268435456 134214852 -0.000021427869797 0
0 0 1 10 268435456 134206579 -0.000083066523075 0
0 0 1 11 268435456 134217732 0.000000029802322 0
0 0 1 12 268435456 134219930 0.000016406178474 0
0 0 1 13 268435456 134212661 -0.000037752091885 0
0 0 1 14 268435456 134223337 0.000041790306568 0
0 0 1 15 268435456 134218893 0.000008679926395 0
0 0 1 16 268435456 134219942 0.000016495585442 0
0 0 1 17 268435456 134229862 0.000090405344963 0
0 0 1 18 268435456 134215729 -0.000014893710613 0
0 0 1 19 268435456 134221388 0.000027269124985 0
0 0 1 20 268435456 134222736 0.000037312507629 0
0 0 1 21 268435456 134211133 -0.000049136579037 0
0 0 1 22 268435456 134215081 -0.000019721686840 0
0 0 1 23 268435456 134220573 0.000021196901798 0
0 0 1 24 268435456 134195493 -0.000165663659573 0
0 0 1 25 268435456 134212908 -0.000035911798477 0
0 0 1 26 268435456 134223844 0.000045567750931 0
0 0 1 27 268435456 134214168 -0.000026524066925 0
0 0 1 28 268435456 134224374 0.000049516558647 0
0 0 1 29 268435456 134220106 0.000017717480659 0
0 0 1 30 268435456 134239212 0.000160068273544 0
0 0 1 31 268435456 134220334 0.000019416213036 0
0 0 2 0 268435456 134225350 0.000056788325310 0
0 0 2 1 268435456 134228609 0.000081069767475 0
0 0 2 2 268435456 134214730 -0.000022336840630 0
0 0 2 3 268435456 134206148 -0.000086277723312 0
0 0 2 4 268435456 134231586 0.000103250145912 0
0 0 2 5 268435456 134214336 -0.000025272369385 0
0 0 2 6 268435456 134213500 -0.000031501054764 0
0 0 2 7 268435456 134210166 -0.000056341290474 0
0 0 2 8 268435456 134225216 0.000055789947510 0
0 0 2 9 268435456 134202141 -0.000116132199764 0
0 0 2 10 268435456 134207250 -0.000078067183495 0
0 0 2 11 268435456 134222430 0.000035032629967 0
0 0 2 12 268435456 134213316 -0.000032871961594 0
0 0 2 13 268435456 134208712 -0.000067174434662 0
0 0 2 14 268435456 134231854 0.000105246901512 0
0 0 2 15 268435456 134210413 -0.000054500997066 0
0 0 2 16 268435456 134224131 0.000047706067562 0
0 0 2 17 268435456 134215499 -0.000016607344151 0
0 0 2 18 268435456 134224332 0.000049203634262 0
0 0 2 19 268435456 134209825 -0.000058881938457 0
0 0 2 20 268435456 134214338 -0.000025257468224 0
0 0 2 21 268435456 134215787 -0.000014461576939 0
0 0 2 22 268435456 134220686 0.000022038817406 0
0 0 2 23 268435456 134213545 -0.000031165778637 0
0 0 2 24 268435456 134227877 0.000075615942478 0
0 0 2 25 268435456 134211608 -0.000045597553253 0
0 0 2 26 268435456 134211958 -0.000042989850044 0
0 0 2 27 268435456 134225652 0.000059038400650 0
0 0 2 28 268435456 134212510 -0.000038877129555 0
0 0 2 29 268435456 134195215 -0.000167734920979 0
0 0 2 30 268435456 134229221 0.000085629522800 0
0 0 2 31 268435456 134208910 -0.000065699219704 0
0 0 3 0 268435456 134213475 -0.000031687319279 0
0 0 3 1 268435456 134212653 -0.000037811696529 0
0 0 3 2 268435456 134229055 0.000084392726421 0
0 0 3 3 268435456 134226851 0.000067971646786 0
0 0 3 4 268435456 134221885 0.000030972063541 0
0 0 3 5 268435456 134225410 0.000057235360146 0
0 0 3 6 268435456 134206712 -0.000082075595856 0
0 0 3 7 268435456 134228297 0.000078745186329 0
0 0 3 8 268435456 134207018 -0.000079795718193 0
0 0 3 9 268435456 134206569 -0.000083141028881 0
0 0 3 10 268435456 134213733 -0.000029765069485 0
0 0 3 11 268435456 134219324 0.000011891126633 0
0 0 3 12 268435456 134225101 0.000054933130741 0
0 0 3 13 268435456 134235493 0.000132359564304 0
0 0 3 14 268435456 134215550 -0.000016227364540 0
0 0 3 15 268435456 134213154 -0.000034078955650 0
0 0 3 16 268435456 134219638 0.000014230608940 0
0 0 3 17 268435456 134214760 -0.000022113323212 0
0 0 3 18 268435456 134208756 -0.000066846609116 0
0 0 3 19 268435456 134215592 -0.000015914440155 0
0 0 3 20 268435456 134207729 -0.000074498355389 0
0 0 3 21 268435456 134215688 -0.000015199184418 0
0 0 3 22 268435456 134203218 -0.000108107924461 0
0 0 3 23 268435456 134216626 -0.000008210539818 0
